ISO3,Countries and areas,Region,Sub-region,Income Group,Total,Rural,Urban,Poorest,Richest,Time period,Data source
CHL,Chile,LAC,LAC,High income (H),85%,70%,87%,71%,98%,2017,CHARLS 2018
CHN,China,EAP,EAP,Upper middle income (UM),21%,10%,86%,,,2018,Demographic and Health Survey
COL,Colombia,LAC,LAC,Upper middle income (UM),31%,4%,42%,1%,98%,2015-16,Multiple Indicator Cluster Survey
CRI,Costa Rica,LAC,LAC,Upper middle income (UM),72%,62%,78%,49%,96%,2018,Multiple Indicator Cluster Survey
CIV,Côte d'Ivoire,SSA,WCA,Lower middle income (LM),2%,0%,5%,0%,13%,2016,Multiple Indicator Cluster Survey
CUB,Cuba,LAC,LAC,Upper middle income (UM),4%,2%,5%,11%,0%,2019,Multiple Indicator Cluster Survey
COD,Democratic Republic of the Congo,SSA,WCA,Low income (L),1%,0%,1%,0%,2%,2017-18,Enquête Djiboutienne Auprès des Ménages pour les Indicateurs Sociaux 2012 - Données pour utilisation publique
DJI,Djibouti,SSA,ESA,Lower middle income (LM),4%,1%,8%,1%,21%,2012,Multiple Indicator Cluster Survey
DOM,Dominican Republic,LAC,LAC,Upper middle income (UM),21%,9%,25%,0%,74%,2014,ENSANUT
ECU,Ecuador,LAC,LAC,Upper middle income (UM),39%,19%,49%,,,2018,"2015 Household Income, Expenditure and Consumption Survey"
EGY,Egypt,MENA,MENA,Lower middle income (LM),14%,9%,23%,,,2015,Multiple Indicator Cluster Survey
GMB,Gambia,SSA,WCA,Low income (L),63%,47%,73%,24%,94%,2018,Multiple Indicator Cluster Survey
GEO,Georgia,ECA,EECA,Upper middle income (UM),85%,73%,93%,53%,99%,2018,Multiple Indicator Cluster Survey
GHA,Ghana,SSA,WCA,Lower middle income (LM),16%,9%,26%,3%,52%,2017-18,Demographic and Health Survey
GTM,Guatemala,LAC,LAC,Upper middle income (UM),6%,2%,14%,0%,38%,2014-15,Multiple Indicator Cluster Survey
GNB,Guinea-Bissau,SSA,WCA,Low income (L),3%,2%,4%,0%,4%,2018-19,Demographic and Health Survey
HTI,Haiti,LAC,LAC,Low income (L),18%,10%,34%,0%,66%,2016-17,Demographic and Health Survey
IND,India,SA,SA,Lower middle income (LM),7%,4%,15%,0%,34%,2015-16,SUSENAS
IDN,Indonesia,EAP,EAP,Lower middle income (LM),16%,8%,23%,5%,41%,2019,Multiple Indicator Cluster Survey
IRQ,Iraq,MENA,MENA,Upper middle income (UM),48%,33%,54%,13%,84%,2018,Multiscopo sulle famiglie: aspetti della vita quotidiana
JPN,Japan,EAP,EAP,High income (H),66%,82%,65%,67%,69%,2018,The Japan Household Panel Survey
JOR,Jordan,MENA,MENA,Upper middle income (UM),34%,31%,34%,21%,68%,2017-18,Demographic and Health Survey
KEN,Kenya,SSA,ESA,Lower middle income (LM),29%,,23%,,,2013,STEP Skills Measurement Household Survey 2013 (Wave 2)
KIR,Kiribati,EAP,EAP,Lower middle income (LM),49%,32%,68%,16%,83%,2018-19,Multiple Indicator Cluster Survey
KGZ,Kyrgyzstan,ECA,EECA,Lower middle income (LM),74%,70%,85%,52%,93%,2018,Multiple Indicator Cluster Survey
LAO,Lao People's Democratic Republic,EAP,EAP,Lower middle income (LM),2%,1%,4%,0%,6%,2017,Multiple Indicator Cluster Survey
LSO,Lesotho,SSA,ESA,Lower middle income (LM),32%,21%,54%,6%,73%,2018,Multiple Indicator Cluster Survey
MDG,Madagascar,SSA,ESA,Low income (L),8%,4%,24%,0%,41%,2018,Multiple Indicator Cluster Survey
MDV,Maldives,SA,SA,Upper middle income (UM),69%,68%,69%,48%,92%,2016-17,Demographic and Health Survey
MLI,Mali,SSA,WCA,Low income (L),4%,3%,11%,0%,21%,2015,Multiple Indicator Cluster Survey
MRT,Mauritania,SSA,WCA,Lower middle income (LM),3%,1%,5%,0%,11%,2015,Multiple Indicator Cluster Survey
MEX,Mexico,LAC,LAC,Upper middle income (UM),36%,9%,48%,,,2018,ENSANUT
MNG,Mongolia,EAP,EAP,Lower middle income (LM),39%,16%,50%,3%,92%,2018,Multiple Indicator Cluster Survey
MNE,Montenegro,ECA,EECA,Upper middle income (UM),82%,73%,87%,52%,100%,2018-19,Multiple Indicator Cluster Survey
MAR,Morocco,MENA,MENA,Lower middle income (LM),17%,12%,22%,,,2010,Morocco Household and Youth Survey 2010
NAM,Namibia,SSA,ESA,Upper middle income (UM),6%,1%,13%,0%,33%,2013,Demographic and Health Survey
NPL,Nepal,SA,SA,Low income (L),51%,37%,58%,18%,92%,2076,Multiple Indicator Cluster Survey
NIC,Nicaragua,LAC,LAC,Lower middle income (LM),3%,,,,,2011-12,Nicaragua National Demographic and Health Survey 2011-2012
NER,Niger,SSA,WCA,Low income (L),2%,,,,,2014-15,"National Survey on Household Living Conditions and Agriculture 2014, Wave 2 Panel Data"
NGA,Nigeria,SSA,WCA,Lower middle income (LM),2%,,,,,2018-2019,"General Household Survey, Panel 2018-2019, Wave 4"
PAK,Pakistan,SA,SA,Lower middle income (LM),9%,4%,19%,0%,45%,2017,Demographic and Health Survey
PAN,Panama,LAC,LAC,High income (H),27%,6%,41%,3%,92%,2013,Multiple Indicator Cluster Survey
PER,Peru,LAC,LAC,Upper middle income (UM),26%,1%,34%,,,2019,ENDES
RUS,Russian Federation,ECA,EECA,Upper middle income (UM),89%,77%,96%,89%,100%,2018,"Russia Longitudinal Monitoring Survey, 2018"
LCA,Saint Lucia,LAC,LAC,Upper middle income (UM),48%,51%,33%,13%,,2012,Multiple Indicator Cluster Survey
STP,Sao Tome and Principe,SSA,WCA,Lower middle income (LM),43%,37%,46%,22%,74%,2019,Multiple Indicator Cluster Survey
SEN,Senegal,SSA,WCA,Lower middle income (LM),4%,2%,9%,0%,18%,2017,Demographic and Health Survey
SRB,Serbia,ECA,EECA,Upper middle income (UM),94%,90%,97%,74%,100%,2019,Multiple Indicator Cluster Survey
SLE,Sierra Leone,SSA,WCA,Low income (L),11%,4%,24%,0%,38%,2017,Multiple Indicator Cluster Survey
SOM,Somalia,SSA,ESA,Low income (L),14%,,,,,2017-18,Somalia High Frequency Survey
ZAF,South Africa,SSA,ESA,Upper middle income (UM),19%,,,,,2014-15,South Africa Living Conditions Survey 2014-15
SSD,South Sudan,SSA,ESA,Low income (L),0%,0%,1%,0%,2%,2010,Multiple Indicator Cluster Survey
LKA,Sri Lanka,SA,SA,Upper middle income (UM),73%,70%,87%,71%,100%,2012,STEP Skills Measurement Household Survey 2012 (Wave 1)
SDN,Sudan,SSA,ESA,Lower middle income (LM),3%,1%,7%,0%,15%,2014,Multiple Indicator Cluster Survey
SUR,Suriname,LAC,LAC,Upper middle income (UM),48%,37%,54%,23%,92%,2018,Multiple Indicator Cluster Survey
TJK,Tajikistan,ECA,EECA,Low income (L),24%,20%,38%,4%,46%,2017,Demographic and Health Survey
THA,Thailand,EAP,EAP,Upper middle income (UM),68%,65%,73%,45%,94%,2562,Multiple Indicator Cluster Survey
MKD,North Macedonia,ECA,EECA,Upper middle income (UM),93%,91%,94%,70%,100%,2018-19,Multiple Indicator Cluster Survey
TGO,Togo,SSA,WCA,Low income (L),22%,7%,49%,0%,77%,2017,Multiple Indicator Cluster Survey
TON,Tonga,EAP,EAP,Upper middle income (UM),92%,91%,95%,83%,98%,2019,Multiple Indicator Cluster Survey
TTO,Trinidad and Tobago,LAC,LAC,High income (H),37%,30%,42%,3%,97%,2011,Multiple Indicator Cluster Survey
TUN,Tunisia,MENA,MENA,Lower middle income (LM),35%,19%,43%,6%,78%,2018,Multiple Indicator Cluster Survey
TUR,Turkey,ECA,EECA,Upper middle income (UM),31%,13%,37%,2%,83%,2013,Demographic and Health Survey
TKM,Turkmenistan,ECA,EECA,Upper middle income (UM),46%,38%,57%,31%,75%,2019,Multiple Indicator Cluster Survey
UGA,Uganda,SSA,ESA,Low income (L),1%,0%,3%,0%,3%,2015,LSMS
UKR,Ukraine,ECA,EECA,Lower middle income (LM),61%,,61%,,,2013,STEP Skills Measurement Household Survey 2013 (Wave 1)
GBR,United Kingdom,ECA,WE,High income (H),99%,,,,,2016,"UK Data Archive Information for the Study 8298. Statistical Bulletin: Internet Access – Households and Individuals, 2016."
URY,Uruguay,LAC,LAC,High income (H),51%,36%,53%,17%,,2012-99,Multiple Indicator Cluster Survey
UZB,Uzbekistan,ECA,EECA,Lower middle income (LM),18%,15%,26%,2%,69%,2017,UNICEF Nutrition Survey 2017
VNM,Viet Nam,EAP,EAP,Lower middle income (LM),63%,,63%,,,2012,STEP Skills Measurement Household Survey 2012 (Wave 1)
ZMB,Zambia,SSA,ESA,Lower middle income (LM),5%,1%,12%,0%,28%,2018-19,Demographic and Health Survey
ZWE,Zimbabwe,SSA,ESA,Lower middle income (LM),28%,19%,51%,5%,65%,2018-19,Multiple Indicator Cluster Survey
