ISO3,Countries and areas,Region,Sub-region,Income Group,Total,Rural,Urban,Poorest,Richest,Time period,Data source
HTI,Haiti,LAC,LAC,Low income (L),18%,10%,33%,0%,60%,2016-17,Demographic and Health Survey
IND,India,SA,SA,Lower middle income (LM),7%,4%,14%,0%,33%,2015-16,Demographic and Health Survey
IDN,Indonesia,EAP,EAP,Lower middle income (LM),17%,9%,24%,5%,44%,2019,SUSENAS
IRQ,Iraq,MENA,MENA,Upper middle income (UM),46%,33%,53%,14%,83%,2018,Multiple Indicator Cluster Survey
ITA,Italy,ECA,WE,High income (H),63%,,,,,2018,Multiscopo sulle famiglie: aspetti della vita quotidiana
JPN,Japan,EAP,EAP,High income (H),75%,81%,74%,62%,85%,2018,The Japan Household Panel Survey
JOR,Jordan,MENA,MENA,Upper middle income (UM),36%,33%,36%,23%,72%,2017-18,Demographic and Health Survey
KEN,Kenya,SSA,ESA,Lower middle income (LM),30%,,22%,,,2013,STEP Skills Measurement Household Survey 2013 (Wave 2)
KIR,Kiribati,EAP,EAP,Lower middle income (LM),50%,32%,66%,12%,86%,2018-19,Multiple Indicator Cluster Survey
KGZ,Kyrgyzstan,ECA,EECA,Lower middle income (LM),72%,69%,81%,53%,89%,2018,Multiple Indicator Cluster Survey
LAO,Lao People's Democratic Republic,EAP,EAP,Lower middle income (LM),1%,1%,4%,0%,5%,2017,Multiple Indicator Cluster Survey
LSO,Lesotho,SSA,ESA,Lower middle income (LM),30%,21%,50%,5%,68%,2018,Multiple Indicator Cluster Survey
MDG,Madagascar,SSA,ESA,Low income (L),9%,5%,24%,0%,44%,2018,Multiple Indicator Cluster Survey
MDV,Maldives,SA,SA,Upper middle income (UM),70%,68%,74%,49%,94%,2016-17,Demographic and Health Survey
MLI,Mali,SSA,WCA,Low income (L),5%,3%,13%,0%,21%,2015,Multiple Indicator Cluster Survey
MRT,Mauritania,SSA,WCA,Lower middle income (LM),3%,1%,6%,0%,11%,2015,Multiple Indicator Cluster Survey
MEX,Mexico,LAC,LAC,Upper middle income (UM),37%,10%,47%,,,2018,ENSANUT
MNG,Mongolia,EAP,EAP,Lower middle income (LM),37%,13%,50%,2%,94%,2018,Multiple Indicator Cluster Survey
MNE,Montenegro,ECA,EECA,Upper middle income (UM),80%,71%,84%,43%,100%,2018-19,Multiple Indicator Cluster Survey
MAR,Morocco,MENA,MENA,Lower middle income (LM),16%,11%,20%,,,2010,Morocco Household and Youth Survey 2010
NAM,Namibia,SSA,ESA,Upper middle income (UM),6%,1%,14%,0%,32%,2013,Demographic and Health Survey
NPL,Nepal,SA,SA,Low income (L),46%,31%,54%,15%,85%,2076,Multiple Indicator Cluster Survey
NIC,Nicaragua,LAC,LAC,Lower middle income (LM),4%,,,,,2011-12,Nicaragua National Demographic and Health Survey 2011-2012
NER,Niger,SSA,WCA,Low income (L),2%,,,,,2014-15,"National Survey on Household Living Conditions and Agriculture 2014, Wave 2 Panel Data"
NGA,Nigeria,SSA,WCA,Lower middle income (LM),3%,,,,,2018-2019,"General Household Survey, Panel 2018-2019, Wave 4"
PAK,Pakistan,SA,SA,Lower middle income (LM),8%,4%,18%,0%,45%,2017,Demographic and Health Survey
PAN,Panama,LAC,LAC,High income (H),27%,8%,40%,2%,95%,2013,Multiple Indicator Cluster Survey
PER,Peru,LAC,LAC,Upper middle income (UM),25%,1%,33%,,,2019,ENDES
RUS,Russian Federation,ECA,EECA,Upper middle income (UM),88%,82%,90%,88%,,2018,"Russia Longitudinal Monitoring Survey, 2018"
LCA,Saint Lucia,LAC,LAC,Upper middle income (UM),44%,44%,47%,12%,,2012,Multiple Indicator Cluster Survey
STP,Sao Tome and Principe,SSA,WCA,Lower middle income (LM),44%,37%,47%,18%,75%,2019,Multiple Indicator Cluster Survey
SEN,Senegal,SSA,WCA,Lower middle income (LM),5%,2%,9%,1%,20%,2017,Demographic and Health Survey
SRB,Serbia,ECA,EECA,Upper middle income (UM),95%,94%,96%,71%,100%,2019,Multiple Indicator Cluster Survey
SLE,Sierra Leone,SSA,WCA,Low income (L),12%,3%,24%,0%,38%,2017,Multiple Indicator Cluster Survey
SOM,Somalia,SSA,ESA,Low income (L),12%,,,,,2017-18,Somalia High Frequency Survey
ZAF,South Africa,SSA,ESA,Upper middle income (UM),18%,,,,,2014-15,South Africa Living Conditions Survey 2014-15
SSD,South Sudan,SSA,ESA,Low income (L),0%,0%,1%,0%,2%,2010,Multiple Indicator Cluster Survey
LKA,Sri Lanka,SA,SA,Upper middle income (UM),67%,64%,85%,70%,99%,2012,STEP Skills Measurement Household Survey 2012 (Wave 1)
SDN,Sudan,SSA,ESA,Lower middle income (LM),3%,1%,8%,0%,17%,2014,Multiple Indicator Cluster Survey
SUR,Suriname,LAC,LAC,Upper middle income (UM),49%,35%,56%,21%,94%,2018,Multiple Indicator Cluster Survey
TJK,Tajikistan,ECA,EECA,Low income (L),23%,19%,37%,5%,44%,2017,Demographic and Health Survey
THA,Thailand,EAP,EAP,Upper middle income (UM),68%,65%,75%,42%,95%,2562,Multiple Indicator Cluster Survey
MKD,North Macedonia,ECA,EECA,Upper middle income (UM),91%,88%,93%,67%,100%,2018-19,Multiple Indicator Cluster Survey
TGO,Togo,SSA,WCA,Low income (L),20%,6%,47%,0%,78%,2017,Multiple Indicator Cluster Survey
TON,Tonga,EAP,EAP,Upper middle income (UM),90%,89%,94%,82%,94%,2019,Multiple Indicator Cluster Survey
TTO,Trinidad and Tobago,LAC,LAC,High income (H),42%,32%,51%,2%,97%,2011,Multiple Indicator Cluster Survey
TUN,Tunisia,MENA,MENA,Lower middle income (LM),36%,20%,44%,11%,82%,2018,Multiple Indicator Cluster Survey
TUR,Turkey,ECA,EECA,Upper middle income (UM),33%,14%,39%,2%,91%,2013,Demographic and Health Survey
TKM,Turkmenistan,ECA,EECA,Upper middle income (UM),44%,35%,56%,32%,74%,2019,Multiple Indicator Cluster Survey
UGA,Uganda,SSA,ESA,Low income (L),0%,0%,1%,0%,1%,2015,LSMS
UKR,Ukraine,ECA,EECA,Lower middle income (LM),73%,,73%,,,2013,STEP Skills Measurement Household Survey 2013 (Wave 1)
GBR,United Kingdom,ECA,WE,High income (H),99%,,,,,2016,"UK Data Archive Information for the Study 8298. Statistical Bulletin: Internet Access – Households and Individuals, 2016."
URY,Uruguay,LAC,LAC,High income (H),63%,53%,64%,37%,,2012-99,Multiple Indicator Cluster Survey
UZB,Uzbekistan,ECA,EECA,Lower middle income (LM),19%,16%,26%,0%,69%,2017,UNICEF Nutrition Survey 2017
VNM,Viet Nam,EAP,EAP,Lower middle income (LM),58%,,58%,,,2012,STEP Skills Measurement Household Survey 2012 (Wave 1)
ZMB,Zambia,SSA,ESA,Lower middle income (LM),6%,2%,12%,0%,28%,2018-19,Demographic and Health Survey
ZWE,Zimbabwe,SSA,ESA,Lower middle income (LM),25%,16%,48%,4%,60%,2018-19,Multiple Indicator Cluster Survey
