ISO3,Countries and areas,Region,Sub-region,Income Group,Total,Rural,Urban,Poorest,Richest,Time period,Data source
MRT,Mauritania,SSA,WCA,Lower middle income (LM),3%,1%,6%,0%,11%,2015,Multiple Indicator Cluster Survey
MEX,Mexico,LAC,LAC,Upper middle income (UM),43%,12%,54%,,,2018,ENSANUT
MNG,Mongolia,EAP,EAP,Lower middle income (LM),32%,10%,45%,2%,93%,2018,Multiple Indicator Cluster Survey
MNE,Montenegro,ECA,EECA,Upper middle income (UM),84%,73%,89%,55%,98%,2018-19,Multiple Indicator Cluster Survey
MAR,Morocco,MENA,MENA,Lower middle income (LM),19%,12%,26%,,,2010,Morocco Household and Youth Survey 2010
NAM,Namibia,SSA,ESA,Upper middle income (UM),8%,1%,19%,0%,38%,2013,Demographic and Health Survey
NPL,Nepal,SA,SA,Low income (L),44%,27%,53%,13%,88%,2076,Multiple Indicator Cluster Survey
NIC,Nicaragua,LAC,LAC,Lower middle income (LM),4%,,,,,2011-12,Nicaragua National Demographic and Health Survey 2011-2012
NER,Niger,SSA,WCA,Low income (L),4%,,,,,2014-15,"National Survey on Household Living Conditions and Agriculture 2014, Wave 2 Panel Data"
NGA,Nigeria,SSA,WCA,Lower middle income (LM),3%,,,,,2018-2019,"General Household Survey, Panel 2018-2019, Wave 4"
PAK,Pakistan,SA,SA,Lower middle income (LM),9%,4%,20%,0%,47%,2017,Demographic and Health Survey
PAN,Panama,LAC,LAC,High income (H),33%,11%,48%,4%,92%,2013,Multiple Indicator Cluster Survey
PER,Peru,LAC,LAC,Upper middle income (UM),25%,1%,34%,,,2019,ENDES
RUS,Russian Federation,ECA,EECA,Upper middle income (UM),86%,79%,94%,88%,100%,2018,"Russia Longitudinal Monitoring Survey, 2018"
LCA,Saint Lucia,LAC,LAC,Upper middle income (UM),50%,52%,44%,15%,,2012,Multiple Indicator Cluster Survey
STP,Sao Tome and Principe,SSA,WCA,Lower middle income (LM),46%,37%,50%,20%,81%,2019,Multiple Indicator Cluster Survey
SEN,Senegal,SSA,WCA,Lower middle income (LM),6%,3%,11%,1%,22%,2017,Demographic and Health Survey
SRB,Serbia,ECA,EECA,Upper middle income (UM),94%,90%,96%,65%,100%,2019,Multiple Indicator Cluster Survey
SLE,Sierra Leone,SSA,WCA,Low income (L),14%,4%,26%,0%,38%,2017,Multiple Indicator Cluster Survey
SOM,Somalia,SSA,ESA,Low income (L),13%,,,,,2017-18,Somalia High Frequency Survey
ZAF,South Africa,SSA,ESA,Upper middle income (UM),20%,,,,,2014-15,South Africa Living Conditions Survey 2014-15
SSD,South Sudan,SSA,ESA,Low income (L),0%,0%,1%,0%,2%,2010,Multiple Indicator Cluster Survey
LKA,Sri Lanka,SA,SA,Upper middle income (UM),69%,67%,84%,71%,99%,2012,STEP Skills Measurement Household Survey 2012 (Wave 1)
SDN,Sudan,SSA,ESA,Lower middle income (LM),3%,1%,9%,0%,18%,2014,Multiple Indicator Cluster Survey
SUR,Suriname,LAC,LAC,Upper middle income (UM),50%,35%,57%,19%,91%,2018,Multiple Indicator Cluster Survey
TJK,Tajikistan,ECA,EECA,Low income (L),23%,19%,37%,7%,44%,2017,Demographic and Health Survey
THA,Thailand,EAP,EAP,Upper middle income (UM),75%,70%,82%,51%,98%,2562,Multiple Indicator Cluster Survey
MKD,North Macedonia,ECA,EECA,Upper middle income (UM),92%,91%,92%,68%,100%,2018-19,Multiple Indicator Cluster Survey
TGO,Togo,SSA,WCA,Low income (L),24%,8%,49%,0%,78%,2017,Multiple Indicator Cluster Survey
TON,Tonga,EAP,EAP,Upper middle income (UM),92%,91%,93%,83%,97%,2019,Multiple Indicator Cluster Survey
TTO,Trinidad and Tobago,LAC,LAC,High income (H),47%,38%,54%,4%,93%,2011,Multiple Indicator Cluster Survey
TUN,Tunisia,MENA,MENA,Lower middle income (LM),41%,22%,50%,15%,85%,2018,Multiple Indicator Cluster Survey
TUR,Turkey,ECA,EECA,Upper middle income (UM),39%,14%,47%,2%,94%,2013,Demographic and Health Survey
TKM,Turkmenistan,ECA,EECA,Upper middle income (UM),47%,36%,59%,30%,80%,2019,Multiple Indicator Cluster Survey
UGA,Uganda,SSA,ESA,Low income (L),0%,0%,1%,0%,1%,2015,LSMS
UKR,Ukraine,ECA,EECA,Lower middle income (LM),66%,,66%,,,2013,STEP Skills Measurement Household Survey 2013 (Wave 1)
GBR,United Kingdom,ECA,WE,High income (H),99%,,,,,2016,"UK Data Archive Information for the Study 8298. Statistical Bulletin: Internet Access – Households and Individuals, 2016."
URY,Uruguay,LAC,LAC,High income (H),66%,46%,68%,28%,,2012-99,Multiple Indicator Cluster Survey
UZB,Uzbekistan,ECA,EECA,Lower middle income (LM),18%,14%,31%,1%,70%,2017,UNICEF Nutrition Survey 2017
VNM,Viet Nam,EAP,EAP,Lower middle income (LM),62%,,62%,,,2012,STEP Skills Measurement Household Survey 2012 (Wave 1)
ZMB,Zambia,SSA,ESA,Lower middle income (LM),8%,2%,16%,0%,31%,2018-19,Demographic and Health Survey
ZWE,Zimbabwe,SSA,ESA,Lower middle income (LM),24%,17%,50%,4%,65%,2018-19,Multiple Indicator Cluster Survey
